TICKER	DATES	TIMES	STK_LAST
VC6	2012/09/11	12:00:00	0
VC7	2012/09/11	12:00:00	62000
VC9	2012/09/11	12:00:00	0
VCB	2012/09/11	12:00:00	240000
VCC	2012/09/11	12:00:00	86000
VCF	2012/09/11	12:00:00	1380000
VCG	2012/09/11	12:00:00	75000
VCH	2012/09/11	12:00:00	15000
VCM	2012/09/11	12:00:00	0
VCR	2012/09/11	12:00:00	29000
VCS	2012/09/11	12:00:00	100000
VCV	2012/09/11	12:00:00	0
VDL	2012/09/11	12:00:00	0
VDS	2012/09/11	12:00:00	0
VE1	2012/09/11	12:00:00	29000
VE2	2012/09/11	12:00:00	0
VE3	2012/09/11	12:00:00	54000
VE8	2012/09/11	12:00:00	0
VE9	2012/09/11	12:00:00	57000
VES	2012/09/11	12:00:00	0
VFC	2012/09/11	12:00:00	86000
VFG	2012/09/11	12:00:00	0
VFMVF1	2012/09/11	12:00:00	74000
VFMVF4	2012/09/11	12:00:00	41000
VFMVFA	2012/09/11	12:00:00	42000
VFR	2012/09/11	12:00:00	67000
VGP	2012/09/11	12:00:00	110000
VGS	2012/09/11	12:00:00	40000
VHC	2012/09/11	12:00:00	306000
VHG	2012/09/11	12:00:00	28000
VHH	2012/09/11	12:00:00	32000
VHL	2012/09/11	12:00:00	161000
VIC	2012/09/11	12:00:00	720000
VID	2012/09/11	12:00:00	40000
VIE	2012/09/11	12:00:00	0
VIG	2012/09/11	12:00:00	15000
VIP	2012/09/11	12:00:00	61000
VIS	2012/09/11	12:00:00	85000
VIT	2012/09/11	12:00:00	46000
VIX	2012/09/11	12:00:00	110000
VKC	2012/09/11	12:00:00	45000
VLA	2012/09/11	12:00:00	0
VLF	2012/09/11	12:00:00	107000
VMC	2012/09/11	12:00:00	0
VMD	2012/09/11	12:00:00	155000
VNA	2012/09/11	12:00:00	32000
VNC	2012/09/11	12:00:00	130000
VND	2012/09/11	12:00:00	92000
VNE	2012/09/11	12:00:00	59000
VNF	2012/09/11	12:00:00	0
VNG	2012/09/11	12:00:00	58000
