ticker	yyyymmdd	exc_pref	exc_pcei	exc_pflr	exc_popn	exc_pcls	exc_phgh	exc_plow	exc_pbase	exc_pvlm	exc_ptrn	exc_capi
HTB	20121109	41500	44400	38600	0	0	0	0	41500	0	0	74700000000
HTC	20121109	13400	14300	12500	13500	13500	13500	13500	13500	2000	27000000	70875000000
HTP	20121109	5000	5300	4700	5000	5200	5200	5000	5200	20200	103530000	8557016000
HUT	20121109	7100	7500	6700	7100	7300	7300	7000	7300	138400	994830000	255482480000
HVT	20121109	8400	8900	7900	0	0	0	0	8400	0	0	60767380800
ICG	20121109	4800	5100	4500	4900	5100	5100	4900	5100	236400	1194400000	102000000000
IDJ	20121109	3100	3300	2900	3100	3200	3200	3000	3100	29200	90480000	101060000000
IDV	20121109	27000	28800	25200	0	0	0	0	27000	0	0	98127450000
ILC	20121109	5400	5700	5100	5500	5500	5500	5500	5500	500	2750000	22290026000
INC	20121109	3700	3900	3500	0	0	0	0	3700	0	0	7400000000
INN	20121109	11600	12400	10800	11100	11800	11800	10800	11800	4100	44640000	63720000000
ITQ	20121109	14900	15900	13900	14800	15000	15000	14800	15000	10500	156000000	150000000000
IVS	20121109	3800	4000	3600	3800	3800	3900	3700	3800	41100	158770000	61180000000
KBT	20121109	18000	19200	16800	0	0	0	0	18000	0	0	54030582000
KHB	20121109	2900	3100	2700	2900	2900	2900	2800	2900	40100	112530000	18183000000
KHL	20121109	2300	2400	2200	2300	2200	2400	2200	2300	9300	21380000	12880000000
KKC	20121109	8300	8800	7800	0	8300	0	0	8300	0	0	38946090000
KLS	20121109	7200	7700	6700	7200	7400	7400	7100	7300	1123300	8138530000	1478250000000
KMT	20121109	4500	4800	4200	0	0	0	0	4500	0	0	44309529000
KSD	20121109	1400	1500	1300	1400	1400	1500	1400	1400	40800	57150000	16800000000
KST	20121109	5300	5600	5000	0	0	0	0	5300	0	0	15878853000
KTS	20121109	34000	36300	31700	32000	31700	32000	31700	31700	500	15970000	123630000000
KTT	20121109	2000	2100	1900	1900	2100	2100	1900	2100	2200	4220000	6037500000
L14	20121109	4900	5200	4600	0	0	0	0	4900	0	0	14112000000
L18	20121109	8600	9200	8000	8800	8800	8800	8800	8800	2700	23760000	47520000000
L35	20121109	6300	6700	5900	0	0	0	0	6300	0	0	20570476500
L43	20121109	6300	6700	5900	6500	6500	6500	6500	6500	100	650000	22750000000
L44	20121109	5900	6300	5500	0	0	0	0	5900	0	0	23482000000
L61	20121109	7000	7400	6600	0	0	0	0	7000	0	0	49105000000
L62	20121109	8000	8500	7500	0	0	0	0	8000	0	0	45934536000
LAS	20121109	27600	29500	25700	27500	27500	27600	27500	27600	18800	518150000	1790136000000
LBE	20121109	8300	8800	7800	0	0	0	0	8300	0	0	9095970000
LCD	20121109	7500	8000	7000	0	0	0	0	7500	0	0	10125000000
LCS	20121109	7100	7500	6700	6900	7100	7200	6900	7200	4600	32270000	43200000000
LDP	20121109	24500	26200	22800	0	0	0	0	24500	0	0	83298995500
LHC	20121109	23800	25400	22200	23500	23500	23500	23500	23500	100	2350000	43874500000
LIG	20121109	6300	6700	5900	6300	6400	6400	6300	6400	1700	10740000	71271680000
LM3	20121109	2500	2600	2400	0	0	0	0	2500	0	0	12875000000
LM7	20121109	3100	3300	2900	2900	3100	3100	2900	3100	300	890000	15500000000
LO5	20121109	3500	3700	3300	0	0	0	0	3500	0	0	17500000000
LTC	20121109	4700	5000	4400	4400	4400	4400	4400	4400	12300	54120000	20178400000
LUT	20121109	7100	7500	6700	7200	7300	7400	7100	7300	10500	75520000	109208000000
MAC	20121109	3300	3500	3100	0	0	0	0	3300	0	0	18149376300
MAX	20121109	4600	4900	4300	4300	4700	4700	4300	4700	27800	126780000	33840000000
MCC	20121109	10300	11000	9600	10300	10300	10300	10300	10300	100	1030000	47774490000
MCF	20121109	11800	12600	11000	0	0	0	0	11800	0	0	94400000000
MCL	20121109	1600	1700	1500	1700	1600	1700	1600	1600	400	650000	3552000000
MCO	20121109	4000	4200	3800	0	0	0	0	4000	0	0	16415716000
MDC	20121109	9700	10300	9100	9200	9200	9200	9200	9200	1500	13800000	138772358400
MEC	20121109	3900	4100	3700	4000	3900	4100	3900	3900	8700	35240000	27300000000
MHL	20121109	8300	8800	7800	0	0	0	0	8300	0	0	31822615000
MIC	20121109	10800	11500	10100	10800	10800	10800	10800	10800	4200	45360000	58921786800
MIH	20121109	11300	12000	10600	11300	11300	11300	11300	11300	200	2260000	42714000000
