CODE	VN_NAME	EN_NAME	MARKET	INDUSTRY	IPO	IPO_SHARES	FTRD_DATE	FTRD_CLS
MCO	CTCP MCO Việt Nam	Mco Vietnam Jsc	HNX	Industrials	2006/12/21	4103929	2006/12/21	
MCP	CTCP In và Bao bì Mỹ Châu	My Chau Printing & Packaging Holding Company	HSX	Industrials	2006/12/18	10339520	2006/12/28	
MCV	CTCP Cavico Việt Nam Khai thác Mỏ và Xây dựng 	Cavico Viet Nam Mining And Construction Jsc	HSX	Industrials	2006/11/15	12092161	2006/12/11	
MDC	CTCP Than Mông Dương - TKV	Vinacomin - Mong Duong Coal Jsc	HNX	Basic Materials	2009/07/23	15083952	2009/07/23	
MDF	Bê tông Ly tâm ĐL Khánh Hòa	Mdf Vrg Quang Tri  Wood Jsc	UPC	Basic Materials	2011/02/25	34600000	2011/02/25	
MDG	CTCP Miền Đông	Mien Dong Jsc	HSX	Industrials	2011/01/05	10889031	2011/01/12	
MEC	CTCP Someco Sông Đà	Song Da Someco Jsc	HNX	Industrials	2006/12/14	7000000	2006/12/14	
MEF	Công ty cổ phần MEINFA	MEINFA Joint Stock Company	UPC	Health Care	2011/09/30	2900000	2011/11/30	
MHC	CTCP Hàng hải Hà Nội	Hanoi Maritime Holding Company	HSX	Industrials	2004/12/31	13555514	2005/03/21	
MHL	CTCP Minh Hữu Liên	Minh Huu Lien Jsc	HNX	Basic Materials	2009/11/26	3976350	2009/11/26	
MIC	CTCP Kỹ nghệ Khoáng sản Quảng Nam	Quang Nam Mineral Industry Corporation	HNX	Basic Materials	2007/12/21	5486046	2007/12/21	
MIH	CTCP Xuất Nhập khẩu Khoáng sản Hà Nam	Ha Nam Import Export Jsc	HNX	Basic Materials	2010/06/29	4000000	2010/06/29	
MIM	CTCP Khoáng sản và Cơ khí	Mineral And Mechanical Jsc	HNX	Basic Materials	2010/08/16	3409860	2010/08/16	
MJC	Thương mại Mộc Hóa	Moc Hoa Trading Jsc	UPC	Consumer Services	2010/07/28	1596620	2010/07/28	
