TICKER	DATES	TIMES	STK_LAST
PHC	2012/09/13	12:00:00	4000
PHH	2012/09/13	12:00:00	4200
PHS	2012/09/13	12:00:00	0
PIV	2012/09/13	12:00:00	0
PJC	2012/09/13	12:00:00	0
PLC	2012/09/13	12:00:00	15700
PMC	2012/09/13	12:00:00	24000
PMS	2012/09/13	12:00:00	0
POT	2012/09/13	12:00:00	8200
PPE	2012/09/13	12:00:00	0
PPG	2012/09/13	12:00:00	5200
PPP	2012/09/13	12:00:00	0
PPS	2012/09/13	12:00:00	7200
PRC	2012/09/13	12:00:00	0
PSC	2012/09/13	12:00:00	0
PSG	2012/09/13	12:00:00	1300
PSI	2012/09/13	12:00:00	3600
PTI	2012/09/13	12:00:00	9500
PTM	2012/09/13	12:00:00	0
PTS	2012/09/13	12:00:00	6100
PV2	2012/09/13	12:00:00	4500
PVA	2012/09/13	12:00:00	5500
PVC	2012/09/13	12:00:00	12700
PVE	2012/09/13	12:00:00	9600
PVG	2012/09/13	12:00:00	9300
PVI	2012/09/13	12:00:00	15900
PVL	2012/09/13	12:00:00	3300
PVR	2012/09/13	12:00:00	3600
PVS	2012/09/13	12:00:00	15200
PVV	2012/09/13	12:00:00	2900
PVX	2012/09/13	12:00:00	5200
PXA	2012/09/13	12:00:00	3000
QCC	2012/09/13	12:00:00	0
QHD	2012/09/13	12:00:00	3900
QNC	2012/09/13	12:00:00	0
QST	2012/09/13	12:00:00	0
QTC	2012/09/13	12:00:00	19000
RCL	2012/09/13	12:00:00	17400
RHC	2012/09/13	12:00:00	0
S12	2012/09/13	12:00:00	4000
S27	2012/09/13	12:00:00	0
S55	2012/09/13	12:00:00	18100
S74	2012/09/13	12:00:00	6600
S91	2012/09/13	12:00:00	0
S96	2012/09/13	12:00:00	3600
S99	2012/09/13	12:00:00	4200
SAF	2012/09/13	12:00:00	0
SAP	2012/09/13	12:00:00	0
SCC	2012/09/13	12:00:00	3100
SCJ	2012/09/13	12:00:00	6200
SCL	2012/09/13	12:00:00	5000
SCR	2012/09/13	12:00:00	6900
SD1	2012/09/13	12:00:00	3000
SD2	2012/09/13	12:00:00	6700
SD3	2012/09/13	12:00:00	2700
SD4	2012/09/13	12:00:00	3900
SD5	2012/09/13	12:00:00	0
SD6	2012/09/13	12:00:00	5200
SD7	2012/09/13	12:00:00	7000
SD8	2012/09/13	12:00:00	2700
SD9	2012/09/13	12:00:00	7400
SDA	2012/09/13	12:00:00	5400
SDB	2012/09/13	12:00:00	0
SDC	2012/09/13	12:00:00	0
SDD	2012/09/13	12:00:00	3000
SDE	2012/09/13	12:00:00	0
SDG	2012/09/13	12:00:00	30000
SDH	2012/09/13	12:00:00	3800
SDJ	2012/09/13	12:00:00	0
SDN	2012/09/13	12:00:00	0
SDP	2012/09/13	12:00:00	4000
SDS	2012/09/13	12:00:00	4100
SDT	2012/09/13	12:00:00	10500
SDU	2012/09/13	12:00:00	6300
SDY	2012/09/13	12:00:00	0
SEB	2012/09/13	12:00:00	22800
