CODE	NAME	PROVIDER	PLACE	TYPE	SUB_TYPE
VNXASHNXPREUR	IFRC VNX ALL-SHARE HNX (EUR)	IFRCRESEARCH	Vietnam	EQUITY	Benchmark
VNXASHNXPRJPY	IFRC VNX ALL-SHARE HNX (JPY)	IFRCRESEARCH	Vietnam	EQUITY	Benchmark
VNXASHNXPRUSD	IFRC VNX ALL-SHARE HNX (USD)	IFRCRESEARCH	Vietnam	EQUITY	Benchmark
VNXASHNXEPREUR	IFRC VNX ALL-SHARE HNX EW (EUR)	IFRCRESEARCH	Vietnam	EQUITY	Benchmark
VNXASHNXEPRJPY	IFRC VNX ALL-SHARE HNX EW (JPY)	IFRCRESEARCH	Vietnam	EQUITY	Benchmark
VNXASHNXEPRUSD	IFRC VNX ALL-SHARE HNX EW (USD)	IFRCRESEARCH	Vietnam	EQUITY	Benchmark
VNXASHNXETREUR	IFRC VNX ALL-SHARE HNX EW TR (EUR)	IFRCRESEARCH	Vietnam	EQUITY	Benchmark
VNXASHNXETRJPY	IFRC VNX ALL-SHARE HNX EW TR (JPY)	IFRCRESEARCH	Vietnam	EQUITY	Benchmark
VNXASHNXETRUSD	IFRC VNX ALL-SHARE HNX EW TR (USD)	IFRCRESEARCH	Vietnam	EQUITY	Benchmark
VNXASHNXTREUR	IFRC VNX ALL-SHARE HNX TR (EUR)	IFRCRESEARCH	Vietnam	EQUITY	Benchmark
VNXASHNXTRJPY	IFRC VNX ALL-SHARE HNX TR (JPY)	IFRCRESEARCH	Vietnam	EQUITY	Benchmark
VNXASHNXTRUSD	IFRC VNX ALL-SHARE HNX TR (USD)	IFRCRESEARCH	Vietnam	EQUITY	Benchmark
VNXASHSXPREUR	IFRC VNX ALL-SHARE HSX (EUR)	IFRCRESEARCH	Vietnam	EQUITY	Benchmark
VNXASHSXPRJPY	IFRC VNX ALL-SHARE HSX (JPY)	IFRCRESEARCH	Vietnam	EQUITY	Benchmark
VNXASHSXPRUSD	IFRC VNX ALL-SHARE HSX (USD)	IFRCRESEARCH	Vietnam	EQUITY	Benchmark
VNXASHSXEPREUR	IFRC VNX ALL-SHARE HSX EW (EUR)	IFRCRESEARCH	Vietnam	EQUITY	Benchmark
VNXASHSXEPRJPY	IFRC VNX ALL-SHARE HSX EW (JPY)	IFRCRESEARCH	Vietnam	EQUITY	Benchmark
VNXASHSXEPRUSD	IFRC VNX ALL-SHARE HSX EW (USD)	IFRCRESEARCH	Vietnam	EQUITY	Benchmark
VNXASHSXETREUR	IFRC VNX ALL-SHARE HSX EW TR (EUR)	IFRCRESEARCH	Vietnam	EQUITY	Benchmark
VNXASHSXETRJPY	IFRC VNX ALL-SHARE HSX EW TR (JPY)	IFRCRESEARCH	Vietnam	EQUITY	Benchmark
VNXASHSXETRUSD	IFRC VNX ALL-SHARE HSX EW TR (USD)	IFRCRESEARCH	Vietnam	EQUITY	Benchmark
VNXASHSXTREUR	IFRC VNX ALL-SHARE HSX TR (EUR)	IFRCRESEARCH	Vietnam	EQUITY	Benchmark
VNXASHSXTRJPY	IFRC VNX ALL-SHARE HSX TR (JPY)	IFRCRESEARCH	Vietnam	EQUITY	Benchmark
VNXASHSXTRUSD	IFRC VNX ALL-SHARE HSX TR (USD)	IFRCRESEARCH	Vietnam	EQUITY	Benchmark
VNXASINPREUR	IFRC VNX ALL-SHARE INDUSTRIALS (EUR)	IFRCRESEARCH	Vietnam	EQUITY	Sector
VNXASINPRJPY	IFRC VNX ALL-SHARE INDUSTRIALS (JPY)	IFRCRESEARCH	Vietnam	EQUITY	Sector
VNXASINPRUSD	IFRC VNX ALL-SHARE INDUSTRIALS (USD)	IFRCRESEARCH	Vietnam	EQUITY	Sector
VNXASINEPREUR	IFRC VNX ALL-SHARE INDUSTRIALS EW (EUR)	IFRCRESEARCH	Vietnam	EQUITY	Sector
