name	code_ctr	indcode	year	value	last_upd
Fertilizer consumption (% of fertilizer production) - Middle East & North Africa (developing only)	MNA	AG.CON.FERT.PT.ZS	2008	54.9815661964608	2013/06/24
Fertilizer consumption (% of fertilizer production) - Middle East & North Africa (developing only)	MNA	AG.CON.FERT.PT.ZS	2009	46.7333584061354	2013/06/24
Fertilizer consumption (% of fertilizer production) - Middle East & North Africa (developing only)	MNA	AG.CON.FERT.PT.ZS	2010	36.4208057865026	2013/06/24
Fertilizer consumption (% of fertilizer production) - Middle income	MIC	AG.CON.FERT.PT.ZS	2002	102.865801753164	2013/06/24
Fertilizer consumption (% of fertilizer production) - Middle income	MIC	AG.CON.FERT.PT.ZS	2003	102.424070393104	2013/06/24
Fertilizer consumption (% of fertilizer production) - Middle income	MIC	AG.CON.FERT.PT.ZS	2004	97.5913812196786	2013/06/24
Fertilizer consumption (% of fertilizer production) - Middle income	MIC	AG.CON.FERT.PT.ZS	2005	101.2605129728	2013/06/24
Fertilizer consumption (% of fertilizer production) - Middle income	MIC	AG.CON.FERT.PT.ZS	2006	104.439148725099	2013/06/24
Fertilizer consumption (% of fertilizer production) - Middle income	MIC	AG.CON.FERT.PT.ZS	2007	104.107963181704	2013/06/24
Fertilizer consumption (% of fertilizer production) - Middle income	MIC	AG.CON.FERT.PT.ZS	2008	102.580084297705	2013/06/24
Fertilizer consumption (% of fertilizer production) - Middle income	MIC	AG.CON.FERT.PT.ZS	2009	103.888881080688	2013/06/24
Fertilizer consumption (% of fertilizer production) - Middle income	MIC	AG.CON.FERT.PT.ZS	2010	145.188307435706	2013/06/24
Fertilizer consumption (% of fertilizer production) - North America	NAC	AG.CON.FERT.PT.ZS	2002	68.809070551345	2013/06/24
Fertilizer consumption (% of fertilizer production) - North America	NAC	AG.CON.FERT.PT.ZS	2003	71.3381429021215	2013/06/24
Fertilizer consumption (% of fertilizer production) - North America	NAC	AG.CON.FERT.PT.ZS	2004	67.1764049396164	2013/06/24
Fertilizer consumption (% of fertilizer production) - North America	NAC	AG.CON.FERT.PT.ZS	2005	69.041435592839	2013/06/24
Fertilizer consumption (% of fertilizer production) - North America	NAC	AG.CON.FERT.PT.ZS	2006	68.6649305061493	2013/06/24
Fertilizer consumption (% of fertilizer production) - North America	NAC	AG.CON.FERT.PT.ZS	2007	66.0208534824622	2013/06/24
Fertilizer consumption (% of fertilizer production) - North America	NAC	AG.CON.FERT.PT.ZS	2008	70.7834410333364	2013/06/24
Fertilizer consumption (% of fertilizer production) - North America	NAC	AG.CON.FERT.PT.ZS	2009	74.4234061100056	2013/06/24
Fertilizer consumption (% of fertilizer production) - North America	NAC	AG.CON.FERT.PT.ZS	2010	69.6421884350046	2013/06/24
Fertilizer consumption (% of fertilizer production) - OECD members	OED	AG.CON.FERT.PT.ZS	2002	89.5891465216931	2013/06/24
Fertilizer consumption (% of fertilizer production) - OECD members	OED	AG.CON.FERT.PT.ZS	2003	91.2260520849357	2013/06/24
Fertilizer consumption (% of fertilizer production) - OECD members	OED	AG.CON.FERT.PT.ZS	2004	83.7661949469011	2013/06/24
Fertilizer consumption (% of fertilizer production) - OECD members	OED	AG.CON.FERT.PT.ZS	2005	83.795700231232	2013/06/24
Fertilizer consumption (% of fertilizer production) - OECD members	OED	AG.CON.FERT.PT.ZS	2006	84.7359398742577	2013/06/24
Fertilizer consumption (% of fertilizer production) - OECD members	OED	AG.CON.FERT.PT.ZS	2007	86.181100424899	2013/06/24
Fertilizer consumption (% of fertilizer production) - OECD members	OED	AG.CON.FERT.PT.ZS	2008	84.3116729681563	2013/06/24
Fertilizer consumption (% of fertilizer production) - OECD members	OED	AG.CON.FERT.PT.ZS	2009	88.3484001288578	2013/06/24
Fertilizer consumption (% of fertilizer production) - OECD members	OED	AG.CON.FERT.PT.ZS	2010	84.963443070086	2013/06/24
Fertilizer consumption (% of fertilizer production) - Small states	SST	AG.CON.FERT.PT.ZS	2002	39.7224106860528	2013/06/24
Fertilizer consumption (% of fertilizer production) - Small states	SST	AG.CON.FERT.PT.ZS	2003	34.5286958791478	2013/06/24
Fertilizer consumption (% of fertilizer production) - Small states	SST	AG.CON.FERT.PT.ZS	2004	39.2442638698604	2013/06/24
Fertilizer consumption (% of fertilizer production) - Small states	SST	AG.CON.FERT.PT.ZS	2005	25.6828188714755	2013/06/24
Fertilizer consumption (% of fertilizer production) - Small states	SST	AG.CON.FERT.PT.ZS	2006	32.3929961089495	2013/06/24
